# Goxel 0.11.0
# One line per voxel
# X Y Z RRGGBB
7 8 1 306082
8 8 1 306082
3 9 1 306082
4 9 1 306082
5 9 1 306082
6 9 1 306082
6 15 1 ac3232
7 15 1 ac3232
8 15 1 ac3232
9 15 1 ac3232
10 15 1 ac3232
11 15 1 ac3232
3 0 2 306082
4 0 2 306082
5 0 2 306082
6 0 2 306082
1 1 2 306082
2 1 2 306082
3 1 2 306082
4 1 2 306082
5 1 2 306082
6 1 2 306082
7 1 2 306082
8 1 2 306082
1 2 2 306082
2 2 2 306082
3 2 2 306082
4 2 2 306082
5 2 2 306082
6 2 2 306082
7 2 2 306082
8 2 2 306082
0 3 2 306082
1 3 2 306082
2 3 2 306082
3 3 2 306082
4 3 2 306082
5 3 2 306082
6 3 2 306082
7 3 2 306082
8 3 2 306082
9 3 2 306082
0 4 2 306082
1 4 2 306082
2 4 2 306082
3 4 2 306082
4 4 2 306082
5 4 2 306082
6 4 2 306082
7 4 2 306082
8 4 2 306082
9 4 2 306082
0 5 2 306082
1 5 2 306082
2 5 2 306082
3 5 2 306082
4 5 2 306082
5 5 2 306082
6 5 2 306082
7 5 2 306082
8 5 2 306082
9 5 2 306082
0 6 2 306082
1 6 2 306082
2 6 2 306082
3 6 2 306082
4 6 2 306082
5 6 2 306082
6 6 2 306082
7 6 2 306082
8 6 2 306082
9 6 2 306082
1 7 2 306082
2 7 2 306082
3 7 2 306082
4 7 2 306082
5 7 2 306082
6 7 2 306082
7 7 2 306082
8 7 2 306082
1 8 2 306082
2 8 2 306082
3 8 2 306082
4 8 2 306082
5 8 2 306082
6 8 2 306082
7 8 2 306082
8 8 2 306082
3 9 2 306082
4 9 2 306082
5 9 2 306082
6 9 2 306082
6 15 2 ac3232
7 15 2 ac3232
8 15 2 ac3232
9 15 2 ac3232
10 15 2 ac3232
11 15 2 ac3232
3 0 3 306082
4 0 3 306082
5 0 3 306082
6 0 3 306082
1 1 3 306082
2 1 3 306082
3 1 3 306082
4 1 3 306082
5 1 3 306082
6 1 3 306082
7 1 3 306082
8 1 3 306082
1 2 3 306082
2 2 3 306082
3 2 3 306082
4 2 3 306082
5 2 3 306082
6 2 3 306082
7 2 3 306082
8 2 3 306082
0 3 3 306082
1 3 3 306082
2 3 3 306082
3 3 3 306082
4 3 3 306082
5 3 3 306082
6 3 3 306082
7 3 3 306082
8 3 3 306082
9 3 3 306082
0 4 3 306082
1 4 3 306082
2 4 3 306082
3 4 3 306082
4 4 3 306082
5 4 3 306082
6 4 3 306082
7 4 3 306082
8 4 3 306082
9 4 3 306082
0 5 3 306082
1 5 3 306082
2 5 3 306082
3 5 3 306082
4 5 3 306082
5 5 3 306082
6 5 3 306082
7 5 3 306082
8 5 3 306082
9 5 3 306082
0 6 3 306082
1 6 3 306082
2 6 3 306082
3 6 3 306082
4 6 3 306082
5 6 3 306082
6 6 3 306082
7 6 3 306082
8 6 3 306082
9 6 3 306082
1 7 3 306082
2 7 3 306082
3 7 3 306082
4 7 3 306082
5 7 3 306082
6 7 3 306082
7 7 3 306082
8 7 3 306082
1 8 3 306082
2 8 3 306082
3 8 3 306082
4 8 3 306082
5 8 3 306082
6 8 3 306082
7 8 3 306082
8 8 3 306082
3 9 3 306082
4 9 3 306082
5 9 3 306082
6 9 3 306082
6 15 3 ac3232
7 15 3 ac3232
8 15 3 ac3232
9 15 3 ac3232
10 15 3 ac3232
11 15 3 ac3232
3 0 4 306082
4 0 4 306082
5 0 4 306082
6 0 4 306082
1 1 4 306082
2 1 4 306082
3 1 4 306082
4 1 4 306082
5 1 4 306082
6 1 4 306082
7 1 4 306082
8 1 4 306082
1 2 4 306082
2 2 4 306082
3 2 4 306082
4 2 4 306082
5 2 4 306082
6 2 4 306082
7 2 4 306082
8 2 4 306082
0 3 4 306082
1 3 4 306082
2 3 4 306082
3 3 4 306082
4 3 4 306082
5 3 4 306082
6 3 4 306082
7 3 4 306082
8 3 4 306082
9 3 4 306082
0 4 4 306082
1 4 4 306082
2 4 4 306082
3 4 4 306082
4 4 4 306082
5 4 4 306082
6 4 4 306082
7 4 4 306082
8 4 4 306082
9 4 4 306082
0 5 4 306082
1 5 4 306082
2 5 4 306082
3 5 4 306082
4 5 4 306082
5 5 4 306082
6 5 4 306082
7 5 4 306082
8 5 4 306082
9 5 4 306082
0 6 4 306082
1 6 4 306082
2 6 4 306082
3 6 4 306082
4 6 4 306082
5 6 4 306082
6 6 4 306082
7 6 4 306082
8 6 4 306082
9 6 4 306082
1 7 4 306082
2 7 4 306082
3 7 4 306082
4 7 4 306082
5 7 4 306082
6 7 4 306082
7 7 4 306082
8 7 4 306082
1 8 4 306082
2 8 4 306082
3 8 4 306082
4 8 4 306082
5 8 4 306082
6 8 4 306082
7 8 4 306082
8 8 4 306082
3 9 4 306082
4 9 4 306082
5 9 4 306082
6 9 4 306082
6 15 4 ac3232
7 15 4 ac3232
8 15 4 ac3232
9 15 4 ac3232
10 15 4 ac3232
11 15 4 ac3232
3 0 5 306082
4 0 5 306082
5 0 5 306082
6 0 5 306082
1 1 5 306082
2 1 5 306082
3 1 5 306082
4 1 5 306082
5 1 5 306082
6 1 5 306082
7 1 5 306082
8 1 5 306082
1 2 5 306082
2 2 5 306082
3 2 5 306082
4 2 5 306082
5 2 5 306082
6 2 5 306082
7 2 5 306082
8 2 5 306082
0 3 5 306082
1 3 5 306082
2 3 5 306082
3 3 5 306082
4 3 5 306082
5 3 5 306082
6 3 5 306082
7 3 5 306082
8 3 5 306082
9 3 5 306082
0 4 5 306082
1 4 5 306082
2 4 5 306082
3 4 5 306082
4 4 5 306082
5 4 5 306082
6 4 5 306082
7 4 5 306082
8 4 5 306082
9 4 5 306082
0 5 5 306082
1 5 5 306082
2 5 5 306082
3 5 5 306082
4 5 5 306082
5 5 5 306082
6 5 5 306082
7 5 5 306082
8 5 5 306082
9 5 5 306082
0 6 5 306082
1 6 5 306082
2 6 5 306082
3 6 5 306082
4 6 5 306082
5 6 5 306082
6 6 5 306082
7 6 5 306082
8 6 5 306082
9 6 5 306082
1 7 5 306082
2 7 5 306082
3 7 5 306082
4 7 5 306082
5 7 5 306082
6 7 5 306082
7 7 5 306082
8 7 5 306082
1 8 5 306082
2 8 5 306082
3 8 5 306082
4 8 5 306082
5 8 5 306082
6 8 5 306082
7 8 5 306082
8 8 5 306082
3 9 5 306082
4 9 5 306082
5 9 5 306082
6 9 5 306082
6 15 5 ac3232
7 15 5 ac3232
8 15 5 ac3232
9 15 5 ac3232
10 15 5 ac3232
11 15 5 ac3232
3 0 6 306082
4 0 6 306082
5 0 6 306082
6 0 6 306082
1 1 6 306082
2 1 6 306082
3 1 6 306082
4 1 6 306082
5 1 6 306082
6 1 6 306082
7 1 6 306082
8 1 6 306082
1 2 6 306082
2 2 6 306082
3 2 6 306082
4 2 6 306082
5 2 6 306082
6 2 6 306082
7 2 6 306082
8 2 6 306082
0 3 6 306082
1 3 6 306082
2 3 6 306082
3 3 6 306082
4 3 6 306082
5 3 6 306082
6 3 6 306082
7 3 6 306082
8 3 6 306082
9 3 6 306082
0 4 6 306082
1 4 6 306082
2 4 6 306082
3 4 6 306082
4 4 6 306082
5 4 6 306082
6 4 6 306082
7 4 6 306082
8 4 6 306082
9 4 6 306082
0 5 6 306082
1 5 6 306082
2 5 6 306082
3 5 6 306082
4 5 6 306082
5 5 6 306082
6 5 6 306082
7 5 6 306082
8 5 6 306082
9 5 6 306082
0 6 6 306082
1 6 6 306082
2 6 6 306082
3 6 6 306082
4 6 6 306082
5 6 6 306082
6 6 6 306082
7 6 6 306082
8 6 6 306082
9 6 6 306082
1 7 6 306082
2 7 6 306082
3 7 6 306082
4 7 6 306082
5 7 6 306082
6 7 6 306082
7 7 6 306082
8 7 6 306082
1 8 6 306082
2 8 6 306082
3 8 6 306082
4 8 6 306082
5 8 6 306082
6 8 6 306082
7 8 6 306082
8 8 6 306082
3 9 6 306082
4 9 6 306082
5 9 6 306082
6 9 6 306082
6 15 6 ac3232
7 15 6 ac3232
8 15 6 ac3232
9 15 6 ac3232
10 15 6 ac3232
11 15 6 ac3232
3 0 7 306082
4 0 7 306082
5 0 7 306082
6 0 7 306082
1 1 7 306082
2 1 7 306082
3 1 7 306082
4 1 7 306082
5 1 7 306082
6 1 7 306082
7 1 7 306082
8 1 7 306082
1 2 7 306082
2 2 7 306082
3 2 7 306082
4 2 7 306082
5 2 7 306082
6 2 7 306082
7 2 7 306082
8 2 7 306082
0 3 7 306082
1 3 7 306082
2 3 7 306082
3 3 7 306082
4 3 7 306082
5 3 7 306082
6 3 7 306082
7 3 7 306082
8 3 7 306082
9 3 7 306082
0 4 7 306082
1 4 7 306082
2 4 7 306082
3 4 7 306082
4 4 7 306082
5 4 7 306082
6 4 7 306082
7 4 7 306082
8 4 7 306082
9 4 7 306082
0 5 7 306082
1 5 7 306082
2 5 7 306082
3 5 7 306082
4 5 7 306082
5 5 7 306082
6 5 7 306082
7 5 7 306082
8 5 7 306082
9 5 7 306082
0 6 7 306082
1 6 7 306082
2 6 7 306082
3 6 7 306082
4 6 7 306082
5 6 7 306082
6 6 7 306082
7 6 7 306082
8 6 7 306082
9 6 7 306082
1 7 7 306082
2 7 7 306082
3 7 7 306082
4 7 7 306082
5 7 7 306082
6 7 7 306082
7 7 7 306082
8 7 7 306082
1 8 7 306082
2 8 7 306082
3 8 7 306082
4 8 7 306082
5 8 7 306082
6 8 7 306082
7 8 7 306082
8 8 7 306082
3 9 7 306082
4 9 7 306082
5 9 7 306082
6 9 7 306082
6 15 7 ac3232
7 15 7 ac3232
8 15 7 ac3232
9 15 7 ac3232
10 15 7 ac3232
11 15 7 ac3232
3 0 8 306082
4 0 8 306082
5 0 8 306082
6 0 8 306082
1 1 8 306082
2 1 8 306082
3 1 8 306082
4 1 8 306082
5 1 8 306082
6 1 8 306082
7 1 8 306082
8 1 8 306082
1 2 8 306082
2 2 8 306082
3 2 8 306082
4 2 8 306082
5 2 8 306082
6 2 8 306082
7 2 8 306082
8 2 8 306082
0 3 8 306082
1 3 8 306082
2 3 8 306082
3 3 8 306082
4 3 8 306082
5 3 8 306082
6 3 8 306082
7 3 8 306082
8 3 8 306082
9 3 8 306082
0 4 8 306082
1 4 8 306082
2 4 8 306082
3 4 8 306082
4 4 8 306082
5 4 8 306082
6 4 8 306082
7 4 8 306082
8 4 8 306082
9 4 8 306082
0 5 8 306082
1 5 8 306082
2 5 8 306082
3 5 8 306082
4 5 8 306082
5 5 8 306082
6 5 8 306082
7 5 8 306082
8 5 8 306082
9 5 8 306082
0 6 8 306082
1 6 8 306082
2 6 8 306082
3 6 8 306082
4 6 8 306082
5 6 8 306082
6 6 8 306082
7 6 8 306082
8 6 8 306082
9 6 8 306082
1 7 8 306082
2 7 8 306082
3 7 8 306082
4 7 8 306082
5 7 8 306082
6 7 8 306082
7 7 8 306082
8 7 8 306082
1 8 8 306082
2 8 8 306082
3 8 8 306082
4 8 8 306082
5 8 8 306082
6 8 8 306082
7 8 8 306082
8 8 8 306082
3 9 8 306082
4 9 8 306082
5 9 8 306082
6 9 8 306082
6 15 8 ac3232
7 15 8 ac3232
8 15 8 ac3232
9 15 8 ac3232
10 15 8 ac3232
11 15 8 ac3232
3 0 9 306082
4 0 9 306082
5 0 9 306082
6 0 9 306082
1 1 9 306082
2 1 9 306082
3 1 9 306082
4 1 9 306082
5 1 9 306082
6 1 9 306082
7 1 9 306082
8 1 9 306082
1 2 9 306082
2 2 9 306082
3 2 9 306082
4 2 9 306082
5 2 9 306082
6 2 9 306082
7 2 9 306082
8 2 9 306082
0 3 9 306082
1 3 9 306082
2 3 9 306082
3 3 9 306082
4 3 9 306082
5 3 9 306082
6 3 9 306082
7 3 9 306082
8 3 9 306082
9 3 9 306082
0 4 9 306082
1 4 9 306082
2 4 9 306082
3 4 9 306082
4 4 9 306082
5 4 9 306082
6 4 9 306082
7 4 9 306082
8 4 9 306082
9 4 9 306082
0 5 9 306082
1 5 9 306082
2 5 9 306082
3 5 9 306082
4 5 9 306082
5 5 9 306082
6 5 9 306082
7 5 9 306082
8 5 9 306082
9 5 9 306082
0 6 9 306082
1 6 9 306082
2 6 9 306082
3 6 9 306082
4 6 9 306082
5 6 9 306082
6 6 9 306082
7 6 9 306082
8 6 9 306082
9 6 9 306082
1 7 9 306082
2 7 9 306082
3 7 9 306082
4 7 9 306082
5 7 9 306082
6 7 9 306082
7 7 9 306082
8 7 9 306082
1 8 9 306082
2 8 9 306082
3 8 9 306082
4 8 9 306082
5 8 9 306082
6 8 9 306082
7 8 9 306082
8 8 9 306082
3 9 9 306082
4 9 9 306082
5 9 9 306082
6 9 9 306082
6 15 9 ac3232
7 15 9 ac3232
8 15 9 ac3232
9 15 9 ac3232
10 15 9 ac3232
11 15 9 ac3232
3 0 10 306082
4 0 10 306082
5 0 10 306082
6 0 10 306082
1 1 10 306082
2 1 10 306082
3 1 10 306082
4 1 10 306082
5 1 10 306082
6 1 10 306082
7 1 10 306082
8 1 10 306082
1 2 10 306082
2 2 10 306082
3 2 10 306082
4 2 10 306082
5 2 10 306082
6 2 10 306082
7 2 10 306082
8 2 10 306082
0 3 10 306082
1 3 10 306082
2 3 10 306082
3 3 10 306082
4 3 10 306082
5 3 10 306082
6 3 10 306082
7 3 10 306082
8 3 10 306082
9 3 10 306082
0 4 10 306082
1 4 10 306082
2 4 10 306082
3 4 10 306082
4 4 10 306082
5 4 10 306082
6 4 10 306082
7 4 10 306082
8 4 10 306082
9 4 10 306082
0 5 10 306082
1 5 10 306082
2 5 10 306082
3 5 10 306082
4 5 10 306082
5 5 10 306082
6 5 10 306082
7 5 10 306082
8 5 10 306082
9 5 10 306082
0 6 10 306082
1 6 10 306082
2 6 10 306082
3 6 10 306082
4 6 10 306082
5 6 10 306082
6 6 10 306082
7 6 10 306082
8 6 10 306082
9 6 10 306082
1 7 10 306082
2 7 10 306082
3 7 10 306082
4 7 10 306082
5 7 10 306082
6 7 10 306082
7 7 10 306082
8 7 10 306082
1 8 10 306082
2 8 10 306082
3 8 10 306082
4 8 10 306082
5 8 10 306082
6 8 10 306082
7 8 10 306082
8 8 10 306082
3 9 10 306082
4 9 10 306082
5 9 10 306082
6 9 10 306082
6 15 10 ac3232
7 15 10 ac3232
8 15 10 ac3232
9 15 10 ac3232
10 15 10 ac3232
11 15 10 ac3232
6 15 11 ac3232
7 15 11 ac3232
8 15 11 ac3232
9 15 11 ac3232
10 15 11 ac3232
11 15 11 ac3232
6 15 12 ac3232
7 15 12 ac3232
8 15 12 ac3232
9 15 12 ac3232
10 15 12 ac3232
11 15 12 ac3232
4 13 13 ac3232
5 13 13 ac3232
3 14 13 ac3232
4 14 13 ac3232
5 14 13 ac3232
6 14 13 ac3232
2 15 13 ac3232
3 15 13 ac3232
4 15 13 ac3232
5 15 13 ac3232
6 15 13 ac3232
7 15 13 ac3232
3 12 14 ac3232
4 12 14 ac3232
5 12 14 ac3232
6 12 14 ac3232
2 13 14 ac3232
3 13 14 ac3232
4 13 14 ac3232
5 13 14 ac3232
6 13 14 ac3232
7 13 14 ac3232
1 14 14 ac3232
2 14 14 ac3232
3 14 14 ac3232
4 14 14 ac3232
5 14 14 ac3232
6 14 14 ac3232
7 14 14 ac3232
8 14 14 ac3232
1 15 14 ac3232
2 15 14 ac3232
3 15 14 ac3232
4 15 14 ac3232
5 15 14 ac3232
6 15 14 ac3232
7 15 14 ac3232
8 15 14 ac3232
3 11 15 ac3232
4 11 15 ac3232
5 11 15 ac3232
6 11 15 ac3232
2 12 15 ac3232
3 12 15 ac3232
4 12 15 ac3232
5 12 15 ac3232
6 12 15 ac3232
7 12 15 ac3232
1 13 15 ac3232
2 13 15 ac3232
3 13 15 ac3232
4 13 15 ac3232
5 13 15 ac3232
6 13 15 ac3232
7 13 15 ac3232
8 13 15 ac3232
0 14 15 ac3232
1 14 15 ac3232
2 14 15 ac3232
3 14 15 ac3232
4 14 15 ac3232
5 14 15 ac3232
6 14 15 ac3232
7 14 15 ac3232
8 14 15 ac3232
9 14 15 ac3232
0 15 15 ac3232
1 15 15 ac3232
2 15 15 ac3232
3 15 15 ac3232
4 15 15 ac3232
5 15 15 ac3232
6 15 15 ac3232
7 15 15 ac3232
8 15 15 ac3232
9 15 15 ac3232
16 0 0 37946e
17 0 0 37946e
18 0 0 37946e
19 0 0 37946e
20 0 0 37946e
21 0 0 37946e
22 0 0 37946e
23 0 0 37946e
24 0 0 37946e
25 0 0 37946e
26 0 0 37946e
27 0 0 37946e
28 0 0 37946e
29 0 0 37946e
30 0 0 37946e
31 0 0 37946e
16 1 0 37946e
17 1 0 37946e
18 1 0 37946e
19 1 0 37946e
20 1 0 37946e
21 1 0 37946e
22 1 0 37946e
23 1 0 37946e
24 1 0 37946e
25 1 0 37946e
26 1 0 37946e
27 1 0 37946e
28 1 0 37946e
29 1 0 37946e
30 1 0 37946e
31 1 0 37946e
16 2 0 37946e
17 2 0 37946e
18 2 0 37946e
19 2 0 37946e
20 2 0 37946e
21 2 0 37946e
22 2 0 37946e
23 2 0 37946e
24 2 0 37946e
25 2 0 37946e
26 2 0 37946e
27 2 0 37946e
28 2 0 37946e
29 2 0 37946e
30 2 0 37946e
31 2 0 37946e
17 3 0 37946e
18 3 0 37946e
19 3 0 37946e
20 3 0 37946e
29 3 0 37946e
30 3 0 37946e
31 3 0 37946e
29 4 0 37946e
30 4 0 37946e
31 4 0 37946e
28 5 0 37946e
29 5 0 37946e
30 5 0 37946e
31 5 0 37946e
28 6 0 37946e
29 6 0 37946e
30 6 0 37946e
31 6 0 37946e
28 7 0 37946e
29 7 0 37946e
30 7 0 37946e
31 7 0 37946e
29 8 0 37946e
30 8 0 37946e
31 8 0 37946e
29 9 0 37946e
30 9 0 37946e
31 9 0 37946e
30 10 0 37946e
31 10 0 37946e
30 11 0 37946e
30 12 0 37946e
30 13 0 37946e
29 14 0 37946e
30 14 0 37946e
29 15 0 37946e
30 15 0 37946e
0 16 0 37946e
1 16 0 37946e
3 16 0 ac3232
4 16 0 ac3232
5 16 0 ac3232
6 16 0 ac3232
7 16 0 ac3232
8 16 0 ac3232
9 16 0 ac3232
10 16 0 ac3232
11 16 0 ac3232
12 16 0 ac3232
13 16 0 ac3232
14 16 0 ac3232
0 17 0 37946e
1 17 0 37946e
2 17 0 ac3232
3 17 0 ac3232
4 17 0 ac3232
5 17 0 ac3232
6 17 0 ac3232
7 17 0 ac3232
8 17 0 ac3232
9 17 0 ac3232
10 17 0 ac3232
11 17 0 ac3232
12 17 0 ac3232
13 17 0 ac3232
14 17 0 ac3232
15 17 0 ac3232
0 18 0 37946e
1 18 0 ac3232
2 18 0 ac3232
3 18 0 ac3232
4 18 0 ac3232
5 18 0 ac3232
6 18 0 ac3232
7 18 0 ac3232
8 18 0 ac3232
9 18 0 ac3232
10 18 0 ac3232
11 18 0 ac3232
12 18 0 ac3232
13 18 0 ac3232
14 18 0 ac3232
15 18 0 ac3232
0 19 0 37946e
1 19 0 ac3232
2 19 0 ac3232
3 19 0 ac3232
4 19 0 ac3232
5 19 0 ac3232
6 19 0 ac3232
7 19 0 ac3232
8 19 0 ac3232
9 19 0 ac3232
10 19 0 ac3232
11 19 0 ac3232
12 19 0 ac3232
13 19 0 ac3232
14 19 0 ac3232
15 19 0 ac3232
0 20 0 ac3232
1 20 0 ac3232
2 20 0 ac3232
3 20 0 ac3232
4 20 0 ac3232
5 20 0 ac3232
6 20 0 ac3232
7 20 0 ac3232
8 20 0 ac3232
9 20 0 ac3232
10 20 0 ac3232
11 20 0 ac3232
12 20 0 ac3232
13 20 0 ac3232
14 20 0 ac3232
15 20 0 ac3232
0 21 0 ac3232
1 21 0 ac3232
2 21 0 ac3232
3 21 0 ac3232
4 21 0 ac3232
5 21 0 ac3232
6 21 0 ac3232
7 21 0 ac3232
8 21 0 ac3232
9 21 0 ac3232
10 21 0 ac3232
11 21 0 ac3232
12 21 0 ac3232
13 21 0 ac3232
14 21 0 ac3232
15 21 0 ac3232
0 22 0 ac3232
1 22 0 ac3232
2 22 0 ac3232
3 22 0 ac3232
4 22 0 ac3232
5 22 0 ac3232
6 22 0 ac3232
7 22 0 ac3232
8 22 0 ac3232
9 22 0 ac3232
10 22 0 ac3232
11 22 0 ac3232
12 22 0 ac3232
13 22 0 ac3232
14 22 0 ac3232
15 22 0 ac3232
0 23 0 ac3232
1 23 0 ac3232
2 23 0 ac3232
3 23 0 ac3232
4 23 0 ac3232
5 23 0 ac3232
6 23 0 ac3232
7 23 0 ac3232
8 23 0 ac3232
9 23 0 ac3232
10 23 0 ac3232
11 23 0 ac3232
12 23 0 ac3232
13 23 0 ac3232
14 23 0 ac3232
15 23 0 ac3232
0 24 0 37946e
1 24 0 ac3232
2 24 0 ac3232
3 24 0 ac3232
4 24 0 ac3232
5 24 0 ac3232
6 24 0 ac3232
7 24 0 ac3232
8 24 0 ac3232
9 24 0 ac3232
10 24 0 ac3232
11 24 0 ac3232
12 24 0 ac3232
13 24 0 ac3232
14 24 0 ac3232
15 24 0 ac3232
0 25 0 37946e
1 25 0 ac3232
2 25 0 ac3232
3 25 0 ac3232
4 25 0 ac3232
5 25 0 ac3232
6 25 0 ac3232
7 25 0 ac3232
8 25 0 ac3232
9 25 0 ac3232
10 25 0 ac3232
11 25 0 ac3232
12 25 0 ac3232
13 25 0 ac3232
14 25 0 ac3232
15 25 0 ac3232
0 26 0 37946e
1 26 0 37946e
2 26 0 ac3232
3 26 0 ac3232
4 26 0 ac3232
5 26 0 ac3232
6 26 0 ac3232
7 26 0 ac3232
8 26 0 ac3232
9 26 0 ac3232
10 26 0 ac3232
11 26 0 ac3232
12 26 0 ac3232
13 26 0 ac3232
14 26 0 ac3232
15 26 0 ac3232
0 27 0 37946e
1 27 0 37946e
3 27 0 ac3232
4 27 0 ac3232
5 27 0 ac3232
6 27 0 ac3232
7 27 0 ac3232
8 27 0 ac3232
9 27 0 ac3232
10 27 0 ac3232
11 27 0 ac3232
12 27 0 ac3232
13 27 0 ac3232
14 27 0 ac3232
0 28 0 37946e
1 28 0 37946e
6 28 0 ac3232
7 28 0 ac3232
8 28 0 ac3232
9 28 0 ac3232
10 28 0 ac3232
11 28 0 ac3232
1 29 0 37946e
10 29 0 37946e
11 29 0 37946e
12 29 0 37946e
13 29 0 37946e
14 29 0 37946e
15 29 0 37946e
1 30 0 37946e
2 30 0 37946e
3 30 0 37946e
4 30 0 37946e
5 30 0 37946e
6 30 0 37946e
7 30 0 37946e
8 30 0 37946e
9 30 0 37946e
10 30 0 37946e
11 30 0 37946e
12 30 0 37946e
13 30 0 37946e
14 30 0 37946e
15 30 0 37946e
1 31 0 37946e
2 31 0 37946e
3 31 0 37946e
4 31 0 37946e
5 31 0 37946e
6 31 0 37946e
7 31 0 37946e
10 31 0 37946e
11 31 0 37946e
12 31 0 37946e
13 31 0 37946e
14 31 0 37946e
15 31 0 37946e
3 16 1 ac3232
4 16 1 ac3232
5 16 1 ac3232
6 16 1 ac3232
7 16 1 ac3232
8 16 1 ac3232
9 16 1 ac3232
10 16 1 ac3232
11 16 1 ac3232
12 16 1 ac3232
13 16 1 ac3232
14 16 1 ac3232
0 17 1 37946e
1 17 1 37946e
2 17 1 ac3232
3 17 1 ac3232
4 17 1 ac3232
5 17 1 ac3232
6 17 1 ac3232
7 17 1 ac3232
8 17 1 ac3232
9 17 1 ac3232
10 17 1 ac3232
11 17 1 ac3232
12 17 1 ac3232
13 17 1 ac3232
14 17 1 ac3232
15 17 1 ac3232
0 18 1 37946e
1 18 1 ac3232
2 18 1 ac3232
3 18 1 ac3232
4 18 1 ac3232
5 18 1 ac3232
6 18 1 ac3232
7 18 1 ac3232
8 18 1 ac3232
9 18 1 ac3232
10 18 1 ac3232
11 18 1 ac3232
12 18 1 ac3232
13 18 1 ac3232
14 18 1 ac3232
15 18 1 ac3232
1 19 1 ac3232
2 19 1 ac3232
3 19 1 ac3232
4 19 1 ac3232
5 19 1 ac3232
6 19 1 ac3232
7 19 1 ac3232
8 19 1 ac3232
9 19 1 ac3232
10 19 1 ac3232
11 19 1 ac3232
12 19 1 ac3232
13 19 1 ac3232
14 19 1 ac3232
15 19 1 ac3232
0 20 1 ac3232
1 20 1 ac3232
2 20 1 ac3232
3 20 1 ac3232
4 20 1 ac3232
5 20 1 ac3232
6 20 1 ac3232
7 20 1 ac3232
8 20 1 ac3232
9 20 1 ac3232
10 20 1 ac3232
11 20 1 ac3232
12 20 1 ac3232
13 20 1 ac3232
14 20 1 ac3232
15 20 1 ac3232
0 21 1 ac3232
1 21 1 ac3232
2 21 1 ac3232
3 21 1 ac3232
4 21 1 ac3232
5 21 1 ac3232
6 21 1 ac3232
7 21 1 ac3232
8 21 1 ac3232
9 21 1 ac3232
10 21 1 ac3232
11 21 1 ac3232
12 21 1 ac3232
13 21 1 ac3232
14 21 1 ac3232
15 21 1 ac3232
0 22 1 ac3232
1 22 1 ac3232
2 22 1 ac3232
